name_ru,name_kk,code,external_id
Абайская область,Абай облысы,ABY,100000000
Акмолинская область,Ақмола облысы,AKM,110000000
Актюбинская область,Ақтөбе облысы,AKT,150000000
Алматинская область,Алматы облысы,ALT,190000000
Атырауская область,Атырау облысы,ATR,230000000
Восточно-Казахстанская область,Шығыс Қазақстан облысы,VKO,630000000
Жамбылская область,Жамбыл облысы,ZHA,310000000
Жетысуская область,Жетісу облысы,ZET,330000000
Западно-Казахстанская область,Батыс Қазақстан облысы,WKO,270000000
Карагандинская область,Қарағанды облысы,KAR,350000000
Костанайская область,Қостанай облысы,KST,390000000
Кызылординская область,Қызылорда облысы,KYZ,430000000
Мангистауская область,Маңғыстау облысы,MNG,470000000
Павлодарская область,Павлодар облысы,PAV,550000000
Северо-Казахстанская область,Солтүстік Қазақстан облысы,SKO,590000000
Туркестанская область,Түркістан облысы,TRK,610000000
Улытауская область,Ұлытау облысы,ULT,620000000
Шымкент,Шымкент қаласы,SHY,790000000
Астана,Астана қаласы,AST,710000000
Алматы,Алматы қаласы,ALM,750000000
